matric,votes_cast
NS/CS/22/0787,5
NS/CS/23/0981,5
NS/CS/23/1034,5
NS/CS/23/1061,5
NS/CS/24/1370,5
NS/CS/24/1374,5
NS/CS/24/1399,5
NS/CS/25/1477,5
NS/CS/25/1784,5
NS/MB/22/0871,5
NS/MB/23/1063,5
NS/SE/22/0796,5
NS/SE/24/1171,5
NS/SE/24/1268,5
NS/SE/25/1471,5
NS/BC/25/1549,4
NS/CB/22/0824,4
NS/MB/22/0826,4
NS/SE/22/0798,4
NS/SE/22/0801,4
NS/SE/22/0825,4
NS/BC/22/0873,3
NS/CS/22/0808,3
NS/CS/24/1158,3
NS/SE/22/0885,3
NS/SE/22/0856,2
NS/BT/24/1248,1
NS/CB/24/1134,1
NS/CB/25/1615,1
NS/CB/25/1673,1
NS/CB/25/1735,1
NS/CS/20/0629,1
NS/CS/22/0782,1
NS/CS/23/0940,1
NS/CS/24/1371,1
NS/CS/25/1645,1
NS/CS/25/1660,1
NS/SE/22/0848,1
